,cell,tot_70,fast_70,fast_total,nonfast_70,nonfast_total,jem-version_jem_form,jem-date_patch,jem-time_patch,jem-date_patch_y-m-d,jem-date_patch_y,jem-date_patch_m,jem-date_patch_d,jem-date_acsf,jem-date_blank,jem-date_internal,jem-status_misinformation,jem-id_species,jem-id_slice_specimen,jem-id_cell_specimen,jem-status_patch_tube,jem-id_patched_cell_container,jem-id_rig_user,jem-id_rig_number,jem-status_attempt,jem-cell_attached_status,jem-cell_attached_status_failure,jem-break_in_status,jem-break_in_status_failure,jem-status_success_failure,jem-status_reporter,jem-cell_virus_enhancer,jem-roi_super,jem-roi_major_minor,jem-roi_major,jem-roi_minor,jem-cell_health,jem-health_fill_quality,jem-nucleus_post_patch,jem-nucleus_sucked,jem-res_final_seal,jem-depth,jem-in_bath_resistance,jem-in_bath_clog,jem-cell_attached_dimple,jem-break_in_pressure_max,jem-break_in_zap_max,jem-break_in_zap_use,jem-break_in_reseal,jem-pressure_extraction,jem-pressure_retraction,jem-time_duration_experiment,jem-time_duration_extraction,jem-time_duration_retraction,jem-in_bath_time_start,jem-seal_time_start,jem-cell_attached_time_start,jem-break_in_time_start,jem-break_in_time_end,jem-time_exp_extraction_start,jem-time_exp_extraction_end,jem-time_exp_retraction_end,jem-time_exp_channel_end,jem-virus_enhancer,jem-dic,jem-slice_level_project,jem-project_level_nucleus,jem-project_name,jem-project_icv_injection_fluorescent_roi,jem-project_retrograde_labeling_hemisphere,jem-project_retrograde_labeling_region,jem-project_retrograde_labeling_exp,jem-notes_overall,jem-notes_qc,jem-notes_extraction,jem-notes_failure,jem-time_slice_eval,jem-slice_health,jem-slice_observations,jem-slice_quality_comments,lims-id_species,lims-id_project_code,lims-id_slice_specimen,lims-id_cell_specimen,lims-id_patched_cell_container,lims-cell_reporter,lims-structure,lims-histology_well_name,lims-id_cell_specimen_id,lims-id_slice_genotype,lims-depth,test-jem_lims_specimen_id_congruency,tree_subclass,tree_cluster,tree_class,marker_sum_norm_label,Norm_Marker_Sum.0.4_label,patched_cell_container,cell_name,rna_amplification_pass_fail,Genes.Detected.CPM
22,H23.51.011.11.06.01.02,4.399675513617763,,,,,2.1.5,07/26/2023,13:50:50,2023-07-26,2023.0,7.0,26.0,07/25/2023,06/08/2023,06/07/2023,No,Human,H23.51.011.11.06.01,H23.51.011.11.06.01.02,Patch Tube,P6S4_230726_402_A01,kristab,8,2.0,Success,,Success,,SUCCESS,,,Cortical,TCx_L2,TCx,L2,3.0,3.0,nucleus_present,not_intentionally-surface,2018.0,86.9,4.8,No,Yes,212.0,Not Applicable,Not Applicable,No,56.0,54.0,9.05,3.82,2.75,14:37:41,,14:40:27,14:40:28,14:41:06,14:50:09,14:53:58,14:56:43,14:59:23,None,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Homo Sapiens,hIVSCC-MET-SCH,H23.51.011,H23.51.011.11.06.01.02,P6S4_230726_402_A01,not applicable,,EPhys_230724_04_B02_H,H23.51.011,,86.9,Matching JEM & LIMS Information,L2-3_IT,Exc L2-3 LINC00507 FREM3,Glutamatergic,1.013800345258732,True,P6S4_230726_402_A01,H23.51.011.11.06.01.02,Pass,12904.0
23,H22.26.437.11.51.01.03,11.06025618113536,,,,,2.1.4,11/23/2022,10:47:56,2022-11-23,2022.0,11.0,23.0,11/22/2022,10/03/2022,10/27/2022,No,Human,H22.26.437.11.51.01,H22.26.437.11.51.01.03,Patch Tube,PCS4_221123_153_A01,kamiliamn,3,3.0,Success,,Success,,SUCCESS,Positive,,Cortical,TCx_L5,TCx,L5,,2.0,nucleus_present,no,2000.0,66.8,4.4,No,No,20.0,Not Applicable,Not Applicable,No,47.0,54.0,9.1,9.77,6.62,14:02:48,,14:05:15,14:06:27,14:06:57,14:16:03,14:25:49,14:32:26,14:38:10,CN3596,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Homo Sapiens,hIVSCC-METc,H22.26.437,H22.26.437.11.51.01.03,PCS4_221123_153_A01,positive,TCx,EPhys_221121_02_C02_H,H22.26.437,,66.8,Matching JEM & LIMS Information,,,,,,,,,
24,H19.03.315.11.01.01.08,5.315793712152875,,,,,2.0.8,07/09/2019,18:33:24,2019-07-09,2019.0,7.0,9.0,07/05/2019,05/21/2019,06/24/2019,No,Human,H19.03.315.11.01.01,H19.03.315.11.01.01.08,Patch Tube,P8S4_190709_364_A01,lindsayn,3,8.0,,,,,SUCCESS,Negative,,Cortical,TCx_L4,TCx,L4,2.0,,nucleus_present,intentionally,1000.0,47.0,4.1,,,,,,,55.0,55.0,6.8,4.03,2.63,22:08:22,,,,22:09:29,22:16:17,22:20:19,22:22:57,22:27:00,None,,,Channel_Recording,None,None,None,None,None,,,#comp WC 18.79 corr 80 - looks weird,,,,,,Homo Sapiens,hIVSCC-MET,H19.03.315,H19.03.315.11.01.01.08,P8S4_190709_364_A01,not applicable,TemL,EPhys_190708_03_A04_H,H19.03.315,,47.7,Matching JEM & LIMS Information,L5_IT,Exc L4-6 RORB SEMA3E,Glutamatergic,0.7249474115036731,True,P8S4_190709_364_A01,H19.03.315.11.01.01.08,Pass,11219.0
25,H23.51.006.11.51.01.02,3.438676288538828,,,,,2.1.5,05/16/2023,09:32:59,2023-05-16,2023.0,5.0,16.0,05/15/2023,04/20/2023,04/20/2023,No,Human,H23.51.006.11.51.01,H23.51.006.11.51.01.02,Patch Tube,PXS4_230516_152_A01,kamiliamn,3,2.0,Success,,Success,,SUCCESS,Positive,,Cortical,FCx_L6,FCx,L6,3.0,2.0,nucleus_present,intentionally-surface,1000.0,73.9,3.6,No,No,70.0,Not Applicable,Not Applicable,No,53.0,95.0,17.7,6.42,7.92,10:25:45,,10:26:18,10:28:17,10:28:38,10:46:20,10:52:45,11:00:40,11:08:07,CN1390,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Homo Sapiens,hIVSCC-METc-SCH,H23.51.006,H23.51.006.11.51.01.02,PXS4_230516_152_A01,positive,,EPhys_230515_02_B03_H,H23.51.006,,73.9,Matching JEM & LIMS Information,Sst,Inh L5-6 SST NPM1P10,GABAergic,0.9166422030362534,True,PXS4_230516_152_A01,H23.51.006.11.51.01.02,Pass,11592.0
26,H23.03.302.11.05.01.02,7.821410620331465,,,,,2.1.5,02/07/2023,12:57:52,2023-02-07,2023.0,2.0,7.0,02/06/2023,11/08/2022,12/09/2022,No,Human,H23.03.302.11.05.01,H23.03.302.11.05.01.02,Patch Tube,P4S4_230207_151_A01,kamiliamn,3,3.0,Success,,Success,,SUCCESS,,,Cortical,TCx_L5,TCx,L5,3.0,3.0,nucleus_present,no,2000.0,46.7,5.2,No,No,18.0,25us,Multiple,No,51.0,70.0,11.72,7.68,3.83,14:04:13,,14:05:55,14:07:04,14:08:07,14:19:50,14:27:31,14:31:21,14:40:00,None,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Homo Sapiens,hIVSCC-MET,H23.03.302,H23.03.302.11.05.01.02,P4S4_230207_151_A01,not applicable,STG,EPhys_230206_04_A03_H,H23.03.302,,46.7,Matching JEM & LIMS Information,Pvalb,Inh L5-6 PVALB LGR5,GABAergic,0.963627582325298,True,P4S4_230207_151_A01,H23.03.302.11.05.01.02,Pass,8523.0
27,H23.51.002.11.51.01.04,30.57228885948996,,,,,2.1.5,04/04/2023,10:10:16,2023-04-04,2023.0,4.0,4.0,04/03/2023,02/24/2023,03/06/2023,No,Human,H23.51.002.11.51.01,H23.51.002.11.51.01.04,Patch Tube,PXS4_230404_154_A01,kamiliamn,3,4.0,Success,,Success,,SUCCESS,Positive,,Cortical,FCx_L3a,FCx,L3a,3.0,2.0,nucleus_present,no,1000.0,101.8,4.6,No,Yes,50.0,Not Applicable,Not Applicable,No,43.0,65.0,7.27,6.97,4.72,12:44:31,,12:46:09,12:47:16,12:47:35,12:54:51,13:01:49,13:06:32,13:14:25,CN1390,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Homo Sapiens,hIVSCC-METc-SCH,H23.51.002,H23.51.002.11.51.01.04,PXS4_230404_154_A01,positive,,EPhys_230403_03_B01_H,H23.51.002,,101.8,Matching JEM & LIMS Information,Pvalb,Inh L4-5 PVALB MEPE,GABAergic,0.9152335478078796,True,PXS4_230404_154_A01,H23.51.002.11.51.01.04,Pass,12951.0
28,H19.03.306.11.12.01.05,7.38031835301714,,,,,2.0.8,03/11/2019,13:22:40,2019-03-11,2019.0,3.0,11.0,03/08/2019,03/05/2019,02/08/2019,No,Human,H19.03.306.11.12.01,H19.03.306.11.12.01.05,Patch Tube,P8S4_190311_355_A01,lindsayn,3,5.0,,,,,SUCCESS,,,Cortical,TCx_L1,TCx,L1,3.0,,nucleus_present,no,2000.0,36.0,5.1,,,,,,,45.0,45.0,12.12,4.15,0.5,15:27:34,,,,15:28:29,15:40:36,15:44:45,15:45:15,,None,,,Channel_Recording,None,None,None,None,None,,had to use backup rheo,,,,,,,Homo Sapiens,hIVSCC-MET,H19.03.306,H19.03.306.11.12.01.05,P8S4_190311_355_A01,not applicable,ITG,EPhys_190311_01_B01_H,H19.03.306,,36.7,Matching JEM & LIMS Information,Pax6,Inh L1-2 PAX6 CDH12,GABAergic,1.1783119649951173,True,P8S4_190311_355_A01,H19.03.306.11.12.01.05,Pass,10995.0
29,H19.03.315.11.01.01.05,11.881456684961,,,,,2.0.8,07/09/2019,18:33:24,2019-07-09,2019.0,7.0,9.0,07/05/2019,05/21/2019,06/24/2019,No,Human,H19.03.315.11.01.01,H19.03.315.11.01.01.05,Patch Tube,P8S4_190709_361_A01,lindsayn,3,5.0,,,,,SUCCESS,Negative,,Cortical,TCx_L1,TCx,L1,5.0,,nucleus_present,intentionally,1200.0,52.0,4.0,,,,,,,50.0,50.0,7.3,1.93,1.97,20:31:12,,,,20:32:41,20:39:59,20:41:55,20:43:53,20:47:14,None,,,Channel_Recording,None,None,None,None,None,,,#comp WC 19.09 corr 80,,,,,,Homo Sapiens,hIVSCC-MET,H19.03.315,H19.03.315.11.01.01.05,P8S4_190709_361_A01,not applicable,TemL,EPhys_190708_03_A04_H,H19.03.315,,52.8,Matching JEM & LIMS Information,Lamp5,Inh L1-2 LAMP5 DBP,GABAergic,0.9584086557051952,True,P8S4_190709_361_A01,H19.03.315.11.01.01.05,Pass,14887.0
30,H23.51.001.11.13.01.05,3.86228761677278,,,,,2.1.5,03/14/2023,11:30:31,2023-03-14,2023.0,3.0,14.0,03/13/2023,12/06/2022,12/09/2022,No,Human,H23.51.001.11.13.01,H23.51.001.11.13.01.05,Patch Tube,PXS4_230314_155_A01,kamiliamn,3,5.0,Success,,Success,,SUCCESS,,,Cortical,OCx_L5,OCx,L5,5.0,3.0,nucleus_present,intentionally-surface,1000.0,61.3,5.1,No,Yes,100.0,Not Applicable,Not Applicable,No,120.0,150.0,11.1,7.8,3.38,14:47:37,,14:48:18,14:48:47,14:49:48,15:00:54,15:08:42,15:12:05,15:20:09,None,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Homo Sapiens,hIVSCC-MET-SCH,H23.51.001,H23.51.001.11.13.01.05,PXS4_230314_155_A01,not applicable,,EPhys_230313_03_B02_H,H23.51.001,,61.3,Matching JEM & LIMS Information,L6b,Exc L5-6 FEZF2 EFTUD1P1,Glutamatergic,0.76691537313252,True,PXS4_230314_155_A01,H23.51.001.11.13.01.05,Pass,9523.0
31,H19.03.320.11.13.01.01,8.61832148522333,,,,,2.0.8,08/27/2019,15:25:58,2019-08-27,2019.0,8.0,27.0,08/26/2019,07/30/2019,07/29/2019,No,Human,H19.03.320.11.13.01,H19.03.320.11.13.01.01,Patch Tube,P8S4_190827_353_A01,lindsayn,5,1.0,,,,,SUCCESS,Negative,,Cortical,TCx_L3,TCx,L3,3.0,,nucleus_present,no,2000.0,48.0,3.9,,,,,,,50.0,50.0,5.72,3.95,2.0,15:33:28,,,,15:35:28,15:41:11,15:45:08,15:47:08,15:50:16,None,,,Channel_Recording,None,None,None,None,None,I think my slice may be placed sideways,,#comp WC 12.58 corr 80,,,,,,Homo Sapiens,hIVSCC-MET,H19.03.320,H19.03.320.11.13.01.01,P8S4_190827_353_A01,negative,MTG,EPhys_190826_02_A03_H,H19.03.320,,48.3,Matching JEM & LIMS Information,L5_IT,Exc L4-5 RORB DAPK2,Glutamatergic,0.8390433926543002,True,P8S4_190827_353_A01,H19.03.320.11.13.01.01,Pass,12375.0
32,H19.06.356.11.07.02.02,8.655095088767087,,,,,2.0.8,06/03/2019,17:30:08,2019-06-03,2019.0,6.0,3.0,05/31/2019,04/30/2019,05/06/2019,No,Human,H19.06.356.11.07.02,H19.06.356.11.07.02.02,Patch Tube,P8S4_190603_351_A01,lindsayn,3,4.0,,,,,SUCCESS,,,Cortical,TCx_L1,TCx,L1,3.0,,nucleus_present,no,1000.0,40.0,5.0,,,,,,,50.0,50.0,10.73,1.5,4.5,18:24:34,,,,18:25:47,18:36:31,18:38:01,18:42:31,18:45:42,None,,,Channel_Recording,None,None,None,None,None,,may be pyramidial hard to say,,,,,,,Homo Sapiens,hIVSCC-MET,H19.06.356,H19.06.356.11.07.02.02,P8S4_190603_351_A01,negative,TemL,EPhys_190603_01_A04_H,H19.06.356,,40.2,Matching JEM & LIMS Information,Sncg,Inh L1-2 VIP TSPAN12,GABAergic,1.3241220003671017,True,P8S4_190603_351_A01,H19.06.356.11.07.02.02,Pass,10984.0
33,H23.03.305.11.65.01.02,19.10072316083878,,,,,2.1.5,05/10/2023,09:50:38,2023-05-10,2023.0,5.0,10.0,05/09/2023,04/20/2023,04/20/2023,No,Human,H23.03.305.11.65.01,H23.03.305.11.65.01.02,Patch Tube,PCS4_230510_352_A01,audreym,6,7.0,Success,,Success,,SUCCESS,,,Cortical,OCx_L6,OCx,L6,3.0,2.0,nucleus_present,intentionally-surface,2500.0,40.3,3.7,No,Yes,8.0,50us,Multiple,No,21.0,23.0,8.3,4.6,6.33,14:20:36,,14:25:43,14:26:57,14:27:30,14:35:48,14:40:24,14:46:44,14:55:55,None,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Homo Sapiens,hIVSCC-METc,H23.03.305,H23.03.305.11.65.01.02,PCS4_230510_352_A01,not applicable,MTG,EPhys_230508_04_A03_H,H23.03.305,,40.3,Matching JEM & LIMS Information,Pvalb,Inh L4-5 PVALB MEPE,GABAergic,1.0646032176157971,True,PCS4_230510_352_A01,H23.03.305.11.65.01.02,Pass,11342.0
34,H23.51.002.11.09.01.03,2.069624379851417,,,,,2.1.5,03/31/2023,14:06:52,2023-03-31,2023.0,3.0,31.0,03/30/2023,02/24/2023,03/06/2023,No,Human,H23.51.002.11.09.01,H23.51.002.11.09.01.03,Patch Tube,P6S4_230331_406_A01,kristab,7,5.0,Success,,Success,,SUCCESS,,,Cortical,FCx_L5,FCx,L5,5.0,3.0,nucleus_present,intentionally-surface,2150.0,63.7,6.0,No,No,222.0,10ms,Multiple,No,39.5,38.3,9.8,2.58,2.67,16:25:04,,16:28:15,16:28:17,16:33:33,16:43:21,16:45:56,16:48:36,16:55:10,None,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Homo Sapiens,hIVSCC-MET-SCH,H23.51.002,H23.51.002.11.09.01.03,P6S4_230331_406_A01,not applicable,,EPhys_230403_03_A03_H,H23.51.002,,63.7,Matching JEM & LIMS Information,L5_IT,Exc L4-6 RORB C1R,Glutamatergic,0.9675705924189127,True,P6S4_230331_406_A01,H23.51.002.11.09.01.03,Pass,12216.0
35,H19.03.311.14.05.01.03,6.302158829472099,,,,,2.0.8,05/14/2019,13:22:04,2019-05-14,2019.0,5.0,14.0,05/13/2019,04/30/2019,03/28/2019,No,Human,H19.03.311.14.05.01,H19.03.311.14.05.01.03,Patch Tube,P8S4_190514_354_A01,lindsayn,3,6.0,,,,,SUCCESS,,,Cortical,TCx_L4,TCx,L4,4.0,,nucleus_present,intentionally,1500.0,40.0,3.4,,,,,,,50.0,50.0,9.52,3.05,2.65,15:16:29,,,,15:17:38,15:27:09,15:30:12,15:32:51,15:35:25,None,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Homo Sapiens,hIVSCC-MET,H19.03.311,H19.03.311.14.05.01.03,P8S4_190514_354_A01,not applicable,TemL,EPhys_190513_02_A04_H,H19.03.311,,40.9,Matching JEM & LIMS Information,Lamp5_Lhx6,Inh L2-6 LAMP5 CA1,GABAergic,1.097950765433356,True,P8S4_190514_354_A01,H19.03.311.14.05.01.03,Fail,22667.0
36,H23.03.305.11.52.01.10,3.453389848098574,,,,,2.1.5,05/23/2023,11:50:39,2023-05-23,2023.0,5.0,23.0,05/22/2023,04/20/2023,04/20/2023,No,Human,H23.03.305.11.52.01,H23.03.305.11.52.01.10,Patch Tube,PCS4_230523_158_A01,kamiliamn,3,10.0,Success,,Success,,SUCCESS,Positive,,Cortical,TCx_L5,TCx,L5,3.0,2.0,nucleus_present,intentionally-surface,2000.0,104.0,3.5,No,No,80.0,Not Applicable,Not Applicable,No,53.0,74.0,9.75,5.9,5.87,19:20:01,,19:20:45,19:21:52,19:22:10,19:31:55,19:37:49,19:43:41,19:47:45,CN2724,,,Channel_Recording,None,None,None,None,None,CN2724,,,,,,,,Homo Sapiens,hIVSCC-METc,H23.03.305,H23.03.305.11.52.01.10,PCS4_230523_158_A01,positive,,EPhys_230522_02_B02_H,H23.03.305,,2001.2,Matching JEM & LIMS Information,L6b,Exc L5-6 FEZF2 IL15,Glutamatergic,0.3109988817401272,False,PCS4_230523_158_A01,H23.03.305.11.52.01.10,Pass,13609.0
37,H23.51.005.11.08.01.02,3.105130825112373,,,,,2.1.5,05/08/2023,13:18:55,2023-05-08,2023.0,5.0,8.0,05/08/2023,03/24/2023,03/06/2023,No,Human,H23.51.005.11.08.01,H23.51.005.11.08.01.02,Patch Tube,PXS4_230508_403_A01,kristab,7,3.0,Success,,Success,,SUCCESS,,,Cortical,FCx_L6,FCx,L6,5.0,3.0,nucleus_present,no,1913.0,111.6,3.5,No,No,130.6,Not Applicable,Not Applicable,No,44.3,42.4,7.43,3.1,3.83,14:20:52,,14:23:59,14:24:01,14:24:29,14:31:55,14:35:01,14:38:51,14:41:15,None,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Homo Sapiens,hIVSCC-MET-SCH,H23.51.005,H23.51.005.11.08.01.02,PXS4_230508_403_A01,not applicable,,EPhys_230508_02_B03_H,H23.51.005,,111.6,Matching JEM & LIMS Information,L6b,Exc L5-6 FEZF2 EFTUD1P1,Glutamatergic,1.1249324739737705,True,PXS4_230508_403_A01,H23.51.005.11.08.01.02,Pass,12838.0
38,H23.51.001.11.10.02.03,7.623543615025096,,,,,2.1.5,03/14/2023,12:16:36,2023-03-14,2023.0,3.0,14.0,03/13/2023,12/06/2022,12/09/2022,No,Human,H23.51.001.11.10.02,H23.51.001.11.10.02.03,Patch Tube,PXS4_230314_853_A01,balreetp,1,4.0,Success,,Success,,SUCCESS,,,Cortical,OCx_L3,OCx,L3,3.0,3.0,nucleus_present,no,1000.0,101.0,5.6,No,Yes,80.0,200us,Multiple,Yes,60.0,60.0,6.8,3.55,3.6,14:20:55,,14:21:34,14:22:53,14:24:42,14:31:30,14:35:03,14:38:39,14:44:48,None,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Homo Sapiens,hIVSCC-MET-SCH,H23.51.001,H23.51.001.11.10.02.03,PXS4_230314_853_A01,not applicable,,EPhys_230313_03_B01_H,H23.51.001,,101.0,Matching JEM & LIMS Information,L2-3_IT,Exc L2-3 LINC00507 FREM3,Glutamatergic,0.5684506213115357,True,PXS4_230314_853_A01,H23.51.001.11.10.02.03,Pass,10973.0
39,H23.51.005.11.51.01.07,2.182448428543954,,,,,2.1.5,05/15/2023,10:06:24,2023-05-15,2023.0,5.0,15.0,05/14/2023,04/20/2023,04/20/2023,No,Human,H23.51.005.11.51.01,H23.51.005.11.51.01.07,Patch Tube,PXS4_230515_856_A01,balreetp,1,10.0,Success,,Success,,SUCCESS,Positive,,Cortical,FCx_L3,FCx,L3,3.0,3.0,nucleus_present,no,1000.0,72.2,4.7,No,Yes,60.0,Not Applicable,Not Applicable,No,50.0,60.0,13.28,5.57,2.85,16:04:58,,16:05:18,16:06:30,16:07:54,16:21:11,16:26:45,16:29:36,16:34:13,CN1954,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Homo Sapiens,hIVSCC-METc-SCH,H23.51.005,H23.51.005.11.51.01.07,PXS4_230515_856_A01,positive,,EPhys_230515_02_B01_H,H23.51.005,,77.8,Matching JEM & LIMS Information,L4_IT,Exc L3-5 RORB COL22A1,Glutamatergic,0.4778643494075908,True,PXS4_230515_856_A01,H23.51.005.11.51.01.07,Fail,5502.0
40,H22.26.433.11.54.01.05,4.523137762666869,,,,,2.1.4,10/06/2022,11:22:13,2022-10-06,2022.0,10.0,6.0,10/05/2022,08/22/2022,09/09/2022,No,Human,H22.26.433.11.54.01,H22.26.433.11.54.01.05,Patch Tube,PCS4_221006_154_A01,kamiliamn,4,7.0,Success,,Success,,SUCCESS,Positive,,Cortical,FCx_L5,FCx,L5,,3.0,nucleus_present,no,1300.0,92.3,4.1,No,No,30.0,Not Applicable,Not Applicable,No,63.0,83.0,15.58,3.78,6.85,16:07:48,,16:08:55,16:10:10,16:10:43,16:26:18,16:30:05,16:36:56,16:43:50,CN1633,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Homo Sapiens,hIVSCC-METc,H22.26.433,H22.26.433.11.54.01.05,PCS4_221006_154_A01,positive,MFG,EPhys_221010_03_A02_H,,,92.3,Matching JEM & LIMS Information,L5_IT,Exc L4-6 RORB SEMA3E,Glutamatergic,0.949413074968554,True,PCS4_221006_154_A01,H22.26.433.11.54.01.05,Pass,13190.0
41,H19.03.311.14.05.01.05,4.767493725959349,,,,,2.0.8,05/14/2019,13:22:04,2019-05-14,2019.0,5.0,14.0,05/13/2019,04/30/2019,03/28/2019,No,Human,H19.03.311.14.05.01,H19.03.311.14.05.01.05,Patch Tube,P8S4_190514_356_A01,lindsayn,3,8.0,,,,,SUCCESS,,,Cortical,TCx_L4,TCx,L4,3.0,,nucleus_present,intentionally,2200.0,48.0,3.4,,,,,,,50.0,50.0,9.58,1.53,3.0,16:26:47,,,,16:28:31,16:38:06,16:39:38,16:42:38,16:46:04,None,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Homo Sapiens,hIVSCC-MET,H19.03.311,H19.03.311.14.05.01.05,P8S4_190514_356_A01,not applicable,TemL,EPhys_190513_02_A04_H,H19.03.311,,48.8,Matching JEM & LIMS Information,Sst,Inh L4-6 SST B3GAT2,GABAergic,1.0191979719623978,True,P8S4_190514_356_A01,H19.03.311.14.05.01.05,Pass,7799.0
42,H23.03.304.11.51.01.05,1.626254452329516,,,,,2.1.5,04/26/2023,09:57:46,2023-04-26,2023.0,4.0,26.0,04/25/2023,03/24/2023,03/06/2023,No,Human,H23.03.304.11.51.01,H23.03.304.11.51.01.05,Patch Tube,PCS4_230426_154_A01,kamiliamn,3,7.0,Success,,Success,,SUCCESS,,,Cortical,FCx_L6,FCx,L6,3.0,3.0,nucleus_present,no,3000.0,75.0,4.2,No,No,100.0,Not Applicable,Not Applicable,No,62.0,5.0,8.82,4.08,5.77,13:51:36,,13:52:15,13:53:31,13:54:06,14:02:55,14:07:00,14:12:46,14:18:03,None,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Homo Sapiens,hIVSCC-METc,H23.03.304,H23.03.304.11.51.01.05,PCS4_230426_154_A01,not applicable,,EPhys_230424_05_A02_M,H23.03.304,,75.0,Matching JEM & LIMS Information,L6b,Exc L5-6 FEZF2 IL15,Glutamatergic,0.4599903415196727,True,PCS4_230426_154_A01,H23.03.304.11.51.01.05,Pass,7386.0
43,H23.03.305.11.52.01.05,2.523714048690852,,,,,2.1.5,05/23/2023,11:50:39,2023-05-23,2023.0,5.0,23.0,05/22/2023,04/20/2023,04/20/2023,No,Human,H23.03.305.11.52.01,H23.03.305.11.52.01.05,Patch Tube,PCS4_230523_155_A01,kamiliamn,3,5.0,Success,,Success,,SUCCESS,Positive,,Cortical,TCx_L6,TCx,L6,3.0,3.0,nucleus_present,no,2000.0,82.4,3.4,No,No,80.0,Not Applicable,Not Applicable,No,50.0,72.0,7.8,5.13,9.9,16:13:39,,16:15:16,16:16:23,16:16:40,16:24:28,16:29:36,16:39:30,16:46:19,CN2724,,,Channel_Recording,None,None,None,None,None,CN2724,,,,,,,,Homo Sapiens,hIVSCC-METc,H23.03.305,H23.03.305.11.52.01.05,PCS4_230523_155_A01,positive,MTG,EPhys_230522_02_B02_H,H23.03.305,,82.4,Matching JEM & LIMS Information,L6_IT,Exc L5-6 THEMIS C1QL3,Glutamatergic,0.4828187535318424,True,PCS4_230523_155_A01,H23.03.305.11.52.01.05,Pass,13117.0
44,H23.03.302.11.08.01.02,3.731555686213916,,,,,2.1.5,02/07/2023,14:13:46,2023-02-07,2023.0,2.0,7.0,02/06/2023,11/08/2022,12/09/2022,No,Human,H23.03.302.11.08.01,H23.03.302.11.08.01.02,Patch Tube,PVS4_230207_252_A01,marshallv,8,6.0,Success,,Success,,SUCCESS,,,Cortical,TCx_L2,TCx,L2,3.0,3.0,nucleus_present,no,22.0,102.8,4.9,No,Yes,30.0,25us,Single,No,45.0,51.0,12.02,5.15,6.82,16:55:28,,17:00:17,17:00:19,17:01:26,17:13:27,17:18:36,17:25:25,17:30:31,None,,,Channel_Recording,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,Missing LIMS Cell Specimen ID,,,,,,,,,
45,H19.03.323.11.04.01.04,5.002544606637084,,,,,2.0.8,12/03/2019,13:17:24,2019-12-03,2019.0,12.0,3.0,12/02/2019,10/17/2019,10/28/2019,No,Human,H19.03.323.11.04.01,H19.03.323.11.04.01.04,Patch Tube,P8S4_191203_356_A01,lindsayn,5,4.0,,,,,SUCCESS,Negative,,Cortical,TCx_L1,TCx,L1,3.0,,nucleus_present,no,1000.0,20.0,4.5,,,,,,,45.0,45.0,9.52,1.92,1.78,14:54:07,,,,14:55:41,15:05:12,15:07:07,15:08:54,15:11:22,None,,,Channel_Recording,None,None,None,None,None,,shallow,"#comp WC 23.90 corr 80
100kH
seal decreased",,,,,,Homo Sapiens,hIVSCC-MET,H19.03.323,H19.03.323.11.04.01.04,P8S4_191203_356_A01,negative,MTG,EPhys_191202_02_A03_H,H19.03.323,,37.0,Matching JEM & LIMS Information,Vip,Inh L1-2 VIP PCDH20,GABAergic,1.1599839829029266,True,P8S4_191203_356_A01,H19.03.323.11.04.01.04,Pass,11525.0
46,H23.03.309.11.52.04,2.322509888376558,,,,,2.1.5,09/14/2023,10:30:07,2023-09-14,2023.0,9.0,14.0,09/13/2023,07/14/2023,07/19/2023,No,Human,H23.03.309.11.52,H23.03.309.11.52.04,Patch Tube,PCS4_230914_154_A01,kamiliamn,2,4.0,Success,,Success,,SUCCESS,Positive,,Cortical,TCx_L6,TCx,L6,3.0,3.0,nucleus_present,intentionally-surface,1000.0,80.9,4.2,No,No,60.0,Not Applicable,Not Applicable,No,50.0,50.0,15.07,3.72,5.78,12:38:37,,12:40:39,12:41:47,12:42:19,12:57:23,13:01:06,13:06:53,13:11:51,CN1954,,HMBA-UM1,Channel_Recording,None,None,None,None,None,,,,,,,,,Homo Sapiens,hIVSCC-METc,H23.03.309,H23.03.309.11.52.04,PCS4_230914_154_A01,positive,TP,EPhys_230918_02_A01_H,,,80.9,Matching JEM & LIMS Information,L6b,Exc L5-6 FEZF2 IL15,Glutamatergic,0.5747010679278597,True,PCS4_230914_154_A01,H23.03.309.11.52.04,Pass,13388.0
